Results Table 1


Results Table 2



Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0002","0.0000"
"0.0400","0.0011","0.0000"
"0.0600","0.0026","0.0000"
"0.0800","0.0046","0.0000"
"0.1000","0.0065","0.0001"
"0.1200","0.0087","0.0001"
"0.1400","0.0108","0.0000"
"0.1600","0.0128","0.0000"
"0.1800","0.0147","0.0000"
"0.2000","0.0164","0.0000"
"0.2200","0.0183","0.0000"
"0.2400","0.0200","0.0000"
"0.2600","0.0217","0.0000"
"0.2800","0.0234","0.0000"
"0.3000","0.0251","0.0000"
"0.3200","0.0267","0.0000"
"0.3400","0.0284","0.0000"
"0.3600","0.0302","0.0000"
"0.3800","0.0319","0.0000"
"0.4000","0.0335","0.0001"
"0.4200","0.0351","0.0001"
"0.4400","0.0367","0.0001"
"0.4600","0.0385","0.0000"
"0.4800","0.0402","0.0000"
"0.5000","0.0418","0.0000"
"0.5200","0.0434","0.0001"
"0.5400","0.0451","0.0001"
"0.5600","0.0468","0.0000"
"0.5800","0.0485","0.0000"
"0.6000","0.0502","0.0000"
"0.6200","0.0518","0.0000"
"0.6400","0.0534","0.0001"
"0.6600","0.0551","0.0001"
"0.6800","0.0567","0.0001"
"0.7000","0.0584","0.0001"
"0.7200","0.0602","0.0000"
"0.7400","0.0618","0.0000"
"0.7600","0.0634","0.0000"
"0.7800","0.0651","0.0000"
"0.8000","0.0668","0.0000"
"0.8200","0.0685","0.0000"
"0.8400","0.0702","0.0000"
"0.8600","0.0718","0.0000"
"0.8800","0.0736","0.0000"
"0.9000","0.0752","0.0000"
"0.9200","0.0768","0.0001"
"0.9400","0.0785","0.0001"
"0.9600","0.0801","0.0001"
"0.9800","0.0819","0.0001"
"1.0000","0.0835","0.0001"
"1.0200","0.0852","0.0000"
"1.0400","0.0868","0.0000"
"1.0600","0.0884","0.0000"
"1.0800","0.0902","0.0000"
"1.1000","0.0919","0.0000"
"1.1200","0.0935","0.0000"
"1.1400","0.0951","0.0001"
"1.1600","0.0967","0.0001"
"1.1800","0.0984","0.0000"
"1.2000","0.1001","0.0000"
"1.2200","0.1019","0.0000"
"1.2400","0.1035","0.0000"
"1.2600","0.1051","0.0000"
"1.2800","0.1067","0.0000"
"1.3000","0.1084","0.0001"
"1.3200","0.1101","0.0000"
"1.3400","0.1119","0.0000"
"1.3600","0.1135","0.0000"
"1.3800","0.1151","0.0000"
"1.4000","0.1167","0.0000"
"1.4200","0.1184","0.0000"
"1.4400","0.1202","0.0000"
"1.4600","0.1219","0.0001"
"1.4800","0.1235","0.0000"
"1.5000","0.1251","0.0000"
"1.5200","0.1268","0.0000"
"1.5400","0.1285","0.0001"
"1.5600","0.1302","0.0001"
"1.5800","0.1319","0.0000"
"1.6000","0.1335","0.0001"
"1.6200","0.1352","0.0001"
"1.6400","0.1369","0.0000"
"1.6600","0.1385","0.0000"
"1.6800","0.1401","0.0000"
"1.7000","0.1419","0.0000"
"1.7200","0.1435","0.0000"
"1.7400","0.1452","0.0001"
"1.7600","0.1469","0.0000"
"1.7800","0.1485","0.0001"
"1.8000","0.1501","0.0001"
"1.8200","0.1519","0.0000"
"1.8400","0.1535","0.0001"
"1.8600","0.1552","0.0000"
"1.8800","0.1568","0.0000"
"1.9000","0.1585","0.0001"
"1.9200","0.1601","0.0001"
"1.9400","0.1618","0.0000"
"1.9600","0.1636","0.0000"
"1.9800","0.1652","0.0001"
"2.0000","0.1668","0.0001"
"2.0200","0.1684","0.0001"
"2.0400","0.1701","0.0001"
"2.0600","0.1719","0.0001"
"2.0800","0.1736","0.0001"
"2.1000","0.1752","0.0000"
"2.1200","0.1768","0.0000"
"2.1400","0.1784","0.0000"
"2.1600","0.1801","0.0000"
"2.1800","0.1819","0.0000"
"2.2000","0.1835","0.0001"
"2.2200","0.1851","0.0000"
"2.2400","0.1868","0.0000"
"2.2600","0.1885","0.0001"
"2.2800","0.1902","0.0001"
"2.2820","0.1903","0.0001"
