Results Table 1


Results Table 2



Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0023"
"0.0200","0.0001","0.0023"
"0.0400","0.0001","0.0023"
"0.0600","0.0002","0.0023"
"0.0800","0.0003","0.0023"
"0.1000","0.0006","0.0023"
"0.1200","0.0012","0.0023"
"0.1400","0.0016","0.0023"
"0.1600","0.0021","0.0023"
"0.1800","0.0026","0.0023"
"0.2000","0.0031","0.0023"
"0.2200","0.0034","0.0023"
"0.2400","0.0038","0.0022"
"0.2600","0.0042","0.0023"
"0.2800","0.0046","0.0023"
"0.3000","0.0050","0.0023"
"0.3200","0.0054","0.0023"
"0.3400","0.0057","0.0023"
"0.3600","0.0060","0.0023"
"0.3800","0.0063","0.0023"
"0.4000","0.0066","0.0023"
"0.4200","0.0070","0.0023"
"0.4400","0.0073","0.0023"
"0.4600","0.0077","0.0023"
"0.4800","0.0081","0.0023"
"0.5000","0.0084","0.0023"
"0.5200","0.0087","0.0023"
"0.5400","0.0089","0.0023"
"0.5600","0.0093","0.0023"
"0.5800","0.0096","0.0023"
"0.6000","0.0100","0.0023"
"0.6200","0.0104","0.0023"
"0.6400","0.0108","0.0023"
"0.6600","0.0111","0.0023"
"0.6800","0.0114","0.0023"
"0.7000","0.0117","0.0023"
"0.7200","0.0120","0.0023"
"0.7400","0.0123","0.0023"
"0.7600","0.0127","0.0023"
"0.7800","0.0131","0.0022"
"0.8000","0.0133","0.0023"
"0.8200","0.0137","0.0023"
"0.8400","0.0139","0.0023"
"0.8600","0.0143","0.0023"
"0.8800","0.0146","0.0023"
"0.9000","0.0150","0.0023"
"0.9200","0.0154","0.0023"
"0.9400","0.0158","0.0023"
"0.9600","0.0161","0.0023"
"0.9800","0.0164","0.0023"
"1.0000","0.0167","0.0023"
"1.0200","0.0170","0.0023"
"1.0400","0.0174","0.0023"
"1.0600","0.0178","0.0023"
"1.0800","0.0182","0.0023"
"1.1000","0.0185","0.0023"
"1.1200","0.0188","0.0023"
"1.1400","0.0190","0.0023"
"1.1600","0.0193","0.0023"
"1.1800","0.0196","0.0023"
"1.2000","0.0200","0.0023"
"1.2200","0.0204","0.0023"
"1.2400","0.0207","0.0023"
"1.2600","0.0211","0.0023"
"1.2800","0.0214","0.0023"
"1.3000","0.0217","0.0023"
"1.3200","0.0220","0.0023"
"1.3400","0.0223","0.0023"
"1.3600","0.0227","0.0023"
"1.3800","0.0230","0.0022"
"1.4000","0.0234","0.0022"
"1.4200","0.0237","0.0023"
"1.4400","0.0239","0.0023"
"1.4600","0.0243","0.0023"
"1.4800","0.0246","0.0023"
"1.5000","0.0250","0.0023"
"1.5200","0.0253","0.0023"
"1.5400","0.0258","0.0023"
"1.5600","0.0261","0.0023"
"1.5800","0.0264","0.0023"
"1.6000","0.0267","0.0023"
"1.6200","0.0271","0.0023"
"1.6400","0.0274","0.0023"
"1.6600","0.0278","0.0023"
"1.6800","0.0282","0.0023"
"1.7000","0.0285","0.0023"
"1.7200","0.0288","0.0023"
"1.7400","0.0290","0.0023"
"1.7600","0.0293","0.0023"
"1.7800","0.0296","0.0023"
"1.8000","0.0299","0.0023"
"1.8200","0.0303","0.0023"
"1.8400","0.0307","0.0023"
"1.8600","0.0311","0.0023"
"1.8800","0.0314","0.0023"
"1.9000","0.0317","0.0023"
"1.9200","0.0320","0.0023"
"1.9400","0.0323","0.0023"
"1.9600","0.0327","0.0023"
"1.9800","0.0330","0.0023"
"2.0000","0.0334","0.0023"
"2.0200","0.0336","0.0023"
"2.0400","0.0340","0.0023"
"2.0600","0.0342","0.0023"
"2.0800","0.0346","0.0023"
"2.1000","0.0349","0.0023"
"2.1200","0.0353","0.0024"
"2.1400","0.0357","0.0023"
"2.1600","0.0361","0.0023"
"2.1800","0.0364","0.0023"
"2.2000","0.0367","0.0023"
"2.2200","0.0371","0.0023"
"2.2400","0.0374","0.0023"
"2.2600","0.0378","0.0023"
"2.2800","0.0381","0.0023"
"2.3000","0.0385","0.0023"
"2.3200","0.0388","0.0023"
"2.3400","0.0391","0.0023"
"2.3600","0.0393","0.0024"
"2.3800","0.0396","0.0024"
"2.4000","0.0399","0.0024"
"2.4200","0.0403","0.0023"
"2.4400","0.0407","0.0023"
"2.4600","0.0410","0.0023"
"2.4800","0.0414","0.0023"
"2.5000","0.0417","0.0023"
"2.5200","0.0420","0.0024"
"2.5400","0.0423","0.0024"
"2.5600","0.0426","0.0024"
"2.5800","0.0430","0.0024"
"2.6000","0.0433","0.0024"
"2.6200","0.0437","0.0024"
"2.6400","0.0440","0.0024"
"2.6600","0.0443","0.0024"
"2.6800","0.0446","0.0024"
"2.7000","0.0449","0.0024"
"2.7200","0.0453","0.0024"
"2.7400","0.0457","0.0025"
"2.7600","0.0461","0.0024"
"2.7800","0.0464","0.0024"
"2.8000","0.0468","0.0025"
"2.8200","0.0470","0.0025"
"2.8400","0.0474","0.0025"
"2.8600","0.0477","0.0025"
"2.8800","0.0481","0.0025"
"2.9000","0.0484","0.0025"
"2.9200","0.0488","0.0025"
"2.9400","0.0491","0.0025"
"2.9600","0.0493","0.0025"
"2.9800","0.0496","0.0026"
"3.0000","0.0499","0.0026"
"3.0200","0.0502","0.0026"
"3.0400","0.0506","0.0026"
"3.0600","0.0510","0.0026"
"3.0800","0.0514","0.0026"
"3.1000","0.0517","0.0027"
"3.1200","0.0520","0.0027"
"3.1400","0.0523","0.0027"
"3.1600","0.0527","0.0027"
"3.1800","0.0530","0.0028"
"3.2000","0.0533","0.0028"
"3.2200","0.0537","0.0028"
"3.2400","0.0540","0.0028"
"3.2600","0.0543","0.0029"
"3.2800","0.0546","0.0029"
"3.3000","0.0549","0.0030"
"3.3200","0.0553","0.0030"
"3.3400","0.0557","0.0030"
"3.3600","0.0560","0.0031"
"3.3800","0.0564","0.0032"
"3.4000","0.0568","0.0033"
"3.4200","0.0571","0.0034"
"3.4400","0.0574","0.0034"
"3.4600","0.0577","0.0035"
"3.4800","0.0580","0.0036"
"3.5000","0.0584","0.0036"
"3.5200","0.0588","0.0037"
"3.5400","0.0591","0.0038"
"3.5600","0.0594","0.0039"
"3.5800","0.0596","0.0039"
"3.6000","0.0599","0.0040"
"3.6200","0.0602","0.0041"
"3.6400","0.0605","0.0041"
"3.6600","0.0610","0.0042"
"3.6800","0.0614","0.0044"
"3.7000","0.0618","0.0045"
"3.7200","0.0621","0.0045"
"3.7400","0.0624","0.0046"
"3.7600","0.0627","0.0047"
"3.7800","0.0630","0.0047"
"3.8000","0.0634","0.0048"
"3.8200","0.0637","0.0050"
"3.8400","0.0641","0.0051"
"3.8600","0.0644","0.0052"
"3.8800","0.0647","0.0053"
"3.9000","0.0650","0.0053"
